test_season,model,class,bin_lower,bin_upper,n,mean_pred,obs_freq
2025-26,gbm,unavailable,0.0,0.1,5887,0.0484,0.0476
2025-26,gbm,unavailable,0.1,0.2,2696,0.1446,0.1317
2025-26,gbm,unavailable,0.2,0.3,1506,0.2466,0.2543
2025-26,gbm,unavailable,0.3,0.4,1033,0.3477,0.3591
2025-26,gbm,unavailable,0.4,0.5,875,0.4501,0.4583
2025-26,gbm,unavailable,0.5,0.6,829,0.5506,0.5525
2025-26,gbm,unavailable,0.6,0.7,746,0.6505,0.6367
2025-26,gbm,unavailable,0.7,0.8,914,0.7526,0.7451
2025-26,gbm,unavailable,0.8,0.9,1472,0.8562,0.8614
2025-26,gbm,unavailable,0.9,1.0,13789,0.9797,0.9851
2025-26,gbm,full,0.0,0.1,17006,0.0133,0.0121
2025-26,gbm,full,0.1,0.2,1660,0.1459,0.1663
2025-26,gbm,full,0.2,0.3,1207,0.2482,0.2411
2025-26,gbm,full,0.3,0.4,1037,0.35,0.3308
2025-26,gbm,full,0.4,0.5,898,0.4524,0.4577
2025-26,gbm,full,0.5,0.6,963,0.5515,0.5379
2025-26,gbm,full,0.6,0.7,1126,0.6505,0.643
2025-26,gbm,full,0.7,0.8,1481,0.7527,0.7623
2025-26,gbm,full,0.8,0.9,2203,0.854,0.8538
2025-26,gbm,full,0.9,1.0,2166,0.9388,0.9391
